,changed,created,dnssec,expires,isMalicious,url
149,2014-09-03 00:00:00,2002-10-08 00:00:00,False,2015-10-08 00:00:00,0,gifts-to-india.com
150,,2015-05-19 00:00:00,,,0,literaturitate.ro
151,2014-08-22 00:00:00,2013-03-24 00:00:00,False,2018-03-24 00:00:00,0,nationaldiscoverychannel.com
152,2007-04-11 00:00:00,2000-04-10 00:00:00,False,2017-04-10 00:00:00,0,belmo.com
153,2014-12-01 00:00:00,1997-01-21 00:00:00,False,2020-01-22 00:00:00,0,davewilson.com
154,2015-06-30 09:18:52,2009-06-11 00:00:00,False,,0,shop-551horai.co.jp
155,2015-02-27 09:34:48,2015-02-25 18:53:05,,2017-02-25 18:53:05,0,checkouts.sg
156,2015-05-13 00:00:00,2012-08-21 00:00:00,False,2015-08-21 00:00:00,0,phpautoclassifiedscript.com
157,2015-02-23 00:00:00,2015-02-23 00:00:00,False,2016-02-23 00:00:00,0,softwarehat.net
158,,2009.07.24,,2016-07-24 00:00:00,0,socengine.ru
159,2014-01-13 21:31:12,1997-03-11 21:00:00,False,2016-03-12 21:00:00,0,publicintegrity.org
160,2015-04-23 00:00:00,2010-07-28 00:00:00,False,2017-07-28 00:00:00,0,vanguardbschool.com
161,2015-03-14 00:00:00,2014-04-12 00:00:00,False,2016-04-12 00:00:00,0,relicsbyrild.com
162,2014-08-06 00:00:00,2012-06-15 00:00:00,False,2016-06-15 00:00:00,0,xihuojie.com
163,2015-05-25 17:27:39,1999-05-25 11:09:25,unsigned,2016-05-25 00:00:00,0,bayareabmw.com
164,2015-06-30 00:00:00,2011-01-30 00:00:00,False,2017-01-30 00:00:00,0,breakingburner.com
165,,2015-03-05 00:00:00,,2016-03-31 00:00:00,0,cms-x.dk
166,2012-06-27 00:00:00,1999-04-19 00:00:00,False,2022-04-19 00:00:00,0,cashusa.net
167,2014-10-19 00:00:00,2002-11-20 00:00:00,False,2015-11-20 00:00:00,0,nikrouzan.com
168,2014-12-19 00:00:00,2012-12-26 00:00:00,False,2015-12-26 00:00:00,0,tbsim.com
169,2015-05-30 03:53:09,2015-05-30 03:53:08,False,2016-05-30 03:53:08,0,justplan.in
170,2013-07-12 22:45:10,2001-07-11 14:04:22,False,2016-07-11 14:04:22,0,the-athenaeum.org
171,2015-01-31 16:00:00,2010-01-21 16:00:00,False,2021-01-22 00:00:00,0,histoire-do.net
172,2015-06-02 03:32:28,,False,,0,decoslide.de
173,2014-12-09 00:00:00,2006-09-06 00:00:00,,2016-09-06 00:00:00,0,priorydirect.co.uk
174,2015-06-05 00:00:00,2004-08-26 00:00:00,False,2024-08-26 00:00:00,0,bidmonitor.com
175,2015-05-05 00:00:00,2014-02-26 00:00:00,False,2016-02-26 00:00:00,0,spiderlinkdirectory.com
176,2015-04-01 00:00:00,2013-05-01 00:00:00,False,2016-05-01 00:00:00,0,linuxscoop.com
177,2015-01-27 00:00:00,2004-02-12 00:00:00,False,2016-02-12 00:00:00,0,makura-soft.com
178,2015-06-26 16:31:54,2013-10-12 20:00:13,False,2016-10-12 20:00:13,0,heatmap.me
179,2015-04-12 00:00:00,2012-08-14 00:00:00,False,2020-08-14 00:00:00,0,myhuo.net
180,,2002.11.01,,2015-11-01 00:00:00,0,b-seminar.ru
181,,2005-05-11 00:00:00,,2016-05-19 00:00:00,0,hr.org.tw
182,2015-07-07 00:00:00,2015-04-17 00:00:00,False,2016-04-17 00:00:00,0,zappfresh.com
183,2014-08-04 00:00:00,2010-11-04 00:00:00,False,2016-11-04 00:00:00,0,alegriphotos.com
184,2014-08-07 00:51:38,2000-06-02 00:00:00,,2015-07-22 00:00:00,0,nuotomaster.it
185,2015-04-30 00:00:00,2010-02-17 00:00:00,False,2016-02-17 00:00:00,0,prioenergy.com
186,2015-06-15 00:00:00,2000-10-04 00:00:00,,2016-04-16 00:00:00,0,leons.ca
187,2015-03-17 00:00:00,2000-03-03 00:00:00,False,2020-03-03 00:00:00,0,smoothjazzdaily.wordpress.com
188,2014-07-18 00:00:00,2007-11-30 00:00:00,False,2018-11-30 00:00:00,0,brainworkindia.net
189,,2013.01.26,,2016-01-26 00:00:00,0,prometriki.ru
190,2014-11-03 00:00:00,: 2011-10-31T15:49:50Z,False,2015-10-31 00:00:00,0,vedicastroadvice.com
191,2014-04-22 00:00:00,2010-10-08 00:00:00,False,2015-10-20 00:00:00,0,yritystele.fi
192,2015-02-11 00:00:00,2010-04-28 00:00:00,False,2017-04-28 00:00:00,0,kn3.net
193,2015-02-24 00:00:00,2015-02-24 00:00:00,False,2016-02-24 00:00:00,0,total-ways.com
194,,,,,0,cubex.solutions
195,2014-11-20 08:22:07,2013-09-09 07:48:24,,2015-09-08 16:59:59,0,sexy4girl.biz
196,2015-02-24 00:00:00,2002-08-11 00:00:00,False,2015-08-11 00:00:00,0,philaphans.com
197,False,False,,False,0,faktoraruhaz.hu
198,2015-04-23 00:00:00,2014-12-20 00:00:00,False,2015-12-20 00:00:00,0,techeradar.com
199,2015-03-23 00:00:00,2014-04-12 00:00:00,False,2016-04-12 00:00:00,0,mindysporn.com
200,,,True,,0,scientias.nl
201,2014-01-20 00:00:00,,,2015-11-03 00:00:00,0,iribtv.ir
202,2015.04.21 12:07:49,2013.05.05 08:16:48,False,2016.05.05 08:16:48,0,world-style.pl
203,2014-09-09 00:00:00,2005-09-12 00:00:00,,2015-09-12 00:00:00,0,freshpromo.ca
204,,,False,,0,zwoofs.nl
205,2014-09-25 00:00:00,2008-09-15 00:00:00,False,2015-09-15 00:00:00,0,betechs.com
206,2014-10-31 22:05:01,1999-11-30 11:19:21,False,2015-11-30 11:19:21,0,friendofthesea.org
207,2015-05-01 00:00:00,2015-03-22 00:00:00,False,2016-03-22 00:00:00,0,galaxyoffers.com
208,2014-11-16 00:00:00,2014-11-15 00:00:00,False,2015-11-15 00:00:00,0,nawords.com
209,2014-03-16 00:00:00,2002-04-15 00:00:00,,2016-04-15 00:00:00,0,captureweb.co.uk
210,2012-09-11 00:00:00,2011-06-04 00:00:00,False,2017-06-04 00:00:00,0,healthmateforever.com
211,2015-05-14 00:00:00,20090610 #5626667,,2019-06-10 00:00:00,0,vinhosdecorte.com.br
212,2014-08-30 21:03:51,2012-06-14 04:47:12,unsigned,2015-10-01 06:11:02,0,francetelevisions.tv
213,2015-02-03 00:00:00,2001-02-20 00:00:00,,2017-02-20 00:00:00,0,jobpostings.ca
214,2015-02-03 00:00:00,2010-05-27 00:00:00,False,2019-05-27 00:00:00,0,ezwebtest.com
215,,,,,0,e-dimosio.gr
216,2014-07-15 07:00:22,2009-12-29 11:20:26,unsigned,2015-12-29 00:00:00,0,thebellsisters.com
217,2015-06-19 04:48:58,2005-06-24 04:33:02,False,2016-06-24 04:33:02,0,vidovdan.org
218,2015-07-02 00:00:00,1999-04-22 00:00:00,False,2016-04-22 00:00:00,0,la-bible.net
219,2013-07-06 00:00:00,2008-01-23 00:00:00,False,2018-01-23 00:00:00,0,bibaloo.com
220,2014-06-27 00:00:00,2013-09-24 00:00:00,False,2017-09-24 00:00:00,0,htc-wallpaper.com
221,2012-09-03 22:04:56,1996-07-02 21:00:00,Unsigned,2016-07-02 00:00:00,0,sidel.com
222,2015-05-05 00:00:00,2014-02-23 00:00:00,False,2016-02-23 00:00:00,0,northwoodshumidors.com
223,2015-02-19 00:00:00,2014-03-21 00:00:00,False,2016-03-21 00:00:00,0,platinumblackcomic.com
224,2015-01-01 00:00:00,2010-02-18 00:00:00,False,2016-02-18 00:00:00,0,cutegaysporn.com
225,2015-03-30 10:23:25,2002-03-29 14:05:31,False,2016-03-29 15:05:31,0,youthforhumanrights.org
226,2015-06-05 00:00:00,2010-06-07 00:00:00,False,2016-06-07 00:00:00,0,beyondtells.com
227,,1997-09-08 14:00:00,False,2015-12-31 14:00:00,0,art.bg
228,,,,,0,advride.gr
229,2014-01-20 23:25:15,2013-06-17 04:18:13,False,2016-06-17 04:18:13,0,littleblackdress.me
230,2015-05-07 00:00:00,2007-05-14 00:00:00,,2019-05-13 00:00:00,0,mayair.com.mx
231,2014-12-25 00:00:00,2014-01-15 00:00:00,False,2016-01-15 00:00:00,0,beautiface.net
232,2015-03-31 02:23:02,2015-03-31 02:21:19,False,2016-03-31 00:00:00,0,shuraba-hoka.com
233,False,False,,False,0,togocity.fr
234,2013-10-09 23:54:50,2006-01-30 12:13:52,False,2016-01-30 12:13:52,0,eccotour.org
235,2015-06-03 00:00:00,2013-03-19 00:00:00,False,2016-03-19 00:00:00,0,thekidscircle.com
236,2014-12-30 00:00:00,2012-08-09 00:00:00,False,2015-08-09 00:00:00,0,tahershah.com
237,,2011.12.23,,2015-12-23 00:00:00,0,worldmagik.ru
238,2015-04-30 00:00:00,2012-11-27 00:00:00,False,2017-11-27 00:00:00,0,hikesandlakes.com
239,2014-07-31 00:00:00,2009-07-30 00:00:00,False,2015-07-30 00:00:00,0,agrashoemart.com
240,,2002.08.20,,2015-08-21 00:00:00,0,sanduny.ru
241,2015-05-18 23:54:19,1998-06-05 21:00:00,Unsigned,2020-06-05 00:00:00,0,centauro.net
242,,,False,,0,dq10.org
243,2015-03-16 00:00:00,2011-03-16 00:00:00,,2017-03-16 00:00:00,0,oftenpartisan.co.uk
244,,,False,,0,armageddon.org
245,2014-10-01 00:00:00,2009-09-30 00:00:00,False,2015-09-30 00:00:00,0,coopstyle.com
246,2015-06-08 00:00:00,2003-11-04 00:00:00,False,2017-11-04 00:00:00,0,hbindependent.com
247,,2015.01.18,,2016-01-18 00:00:00,0,luchshiecasino.ru
248,2015-05-11 00:00:00,2012-05-16 00:00:00,False,2016-05-16 00:00:00,0,sexshopboys.net
249,,,False,,0,menstuff.org
250,2015-02-08 00:00:00,2015-02-07 00:00:00,False,2016-02-07 00:00:00,0,momsporno.net
251,,,,,0,bhpetrol.com.my
252,2015-04-14 00:00:00,2010-03-30 00:00:00,False,2020-03-30 00:00:00,0,whitetrashrepairs.com
253,2015-03-26 00:00:00,2013-03-31 00:00:00,False,2016-03-31 00:00:00,0,plasagadget.com
254,2015-05-13 00:00:00,2015-05-13 00:00:00,False,2016-05-13 00:00:00,0,lawyer-berlin.net
255,2015-06-05 00:00:00,2013-06-13 00:00:00,False,2016-06-13 00:00:00,0,crokes.com
256,2014-06-03 18:08:35,2007-01-04 12:20:28,False,2018-01-04 12:20:28,0,consortiumlibrary.org
257,2014-12-17 14:57:20,2014-12-17 14:57:19,False,2015-12-17 00:00:00,0,idolimage.net
258,2015-04-29 00:00:00,2012-08-08 00:00:00,False,2015-08-08 00:00:00,0,hellomaheshwari.com
259,2015-04-23 21:33:34,2011-02-04 03:23:18,Unsigned Delegation ,2016-02-04 00:00:00,0,jubini.com
260,2014-10-01 03:24:31,2014-10-01 03:24:29,False,2015-10-01 00:00:00,0,eroan.net
261,,1998-02-01 00:00:00,False,,0,acodev.be
262,2015-07-01 02:08:44,2012-06-29 22:50:06,False,2016-06-29 22:50:06,0,xootmedia.me
263,2014-09-08 23:54:43,2012-09-13 14:36:43,False,2015-09-13 00:00:00,0,mbofstevenscreek.com
264,,,,,0,hornodelena.blogspot.com.es
265,2015-03-09 18:04:04,2014-03-25 07:31:30,False,2016-03-25 00:00:00,0,set-list.net
266,2015-01-28 15:09:56,2001-09-14 21:07:29,Unsigned,2016-09-15 00:00:00,0,rentafonejapan.com
267,2014-12-12 00:00:00,2007-12-19 00:00:00,,2015-12-19 00:00:00,0,edenvauxhall.co.uk
268,2015-04-22 00:00:00,2014-08-23 00:00:00,False,2015-08-23 00:00:00,0,thailandluxe.net
269,2013-06-12 00:00:00,1989-11-20 00:00:00,,2015-07-31 00:00:00,0,fau.edu
270,2015-03-23 00:00:00,2000-01-05 00:00:00,False,2016-01-05 00:00:00,0,tropicanaslim.com
271,2015-07-05 00:00:00,2002-09-02 00:00:00,False,2016-09-02 00:00:00,0,steppenwolf-bikes.com
272,,2000-05-24 00:00:00,,,0,piraeusbank.ro
273,,,False,,0,cycling-manager.eu
274,2014-11-07 00:00:00,2014-09-11 00:00:00,False,2015-09-11 00:00:00,0,kobral.com
275,2011-07-05 00:00:00,2010-05-18 00:00:00,,2015-07-31 00:00:00,0,carrington.edu
